id;title;link;regular_price;promotional_price;brand
227973;Кофе Fresco Arabica blend молотый, 250г;https://online.metro-cc.ru/products/kofe-fresco-arabica-blend-molotyy-250g;349;349;FRESCO
227971;Кофе Fresco Arabica blend растворимый, 190г;https://online.metro-cc.ru/products/kofe-fresco-arabica-blend-rastvorimyy-190g;529;499;FRESCO
227972;Кофе Fresco Arabica Solo растворимый, 190г;https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-rastvorimyy-190g;529;499;FRESCO
228781;Кофе Fresco Liberty в зернах, 900г;https://online.metro-cc.ru/products/900g-kofe-fresco-liberty-zerno;1199;1199;FRESCO
59409;Кофе Fresco Arabica Solo в зернах, 1кг;https://online.metro-cc.ru/products/fresco-arabica-solo-v-zernah-1000-g;1309;1090;FRESCO
214904;Кофе Fresco Arabica Blend в зернах, 200г;https://online.metro-cc.ru/products/200g-kofe-fresco-arabica-blend-zerno;274;219;FRESCO
227974;Кофе Fresco Arabica solo молотый для чашек и турок, 250г;https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-molotyy-dlya-chashek-i-turok-250g;349;349;FRESCO
611606;Кофе Illy средней обжарки в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-srednej-obzharki-250g;1289;1090;ILLY
611603;Кофе Illy темная обжарка молотый, 250г;https://online.metro-cc.ru/products/illy-temnaya-obzharka-250g;1499;1399;ILLY
230025;Кофе Illy без кофеина молотый, 250г;https://online.metro-cc.ru/products/kofe-illy-bez-kofeina-molotyy-250g;1359;1359;ILLY
59569;Кофе Illy Brazil arabica selection в зернах, 250г;https://online.metro-cc.ru/products/illy-arabika-250-g;1289;1090;ILLY
59570;Кофе Illy Guatemala arabica selection в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-guatemala-zh-b-250-g;1289;1090;ILLY
611605;Кофе Illy средней обжарки молотый, 250г;https://online.metro-cc.ru/products/illy-srednej-obzharki-250g;1499;1399;ILLY
611604;Кофе Illy темная обжарка в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g;1289;1090;ILLY
230024;Кофе Illy без кофеина в зернах, 250г;https://online.metro-cc.ru/products/kofe-illy-bez-kofeina-zernovoy-250g;1359;1359;ILLY
226934;Кофе Italco Espresso Italiano в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-italiano-v-zernah;1769;1769;ITALCO
74090;Кофе Jacobs Monarch растворимый (1.8г х 26шт), 47г;https://online.metro-cc.ru/products/jacobs-monarch-26x18g;449;449;JACOBS
655857;Кофе Jacobs Crema в зернах, 1кг;https://online.metro-cc.ru/products/jacobs-crema-zernovoj-1kg;1489;1249;JACOBS
448263;Кофе Jacobs Millicano молотый в растворимом, 75г;https://online.metro-cc.ru/products/jacobs-monarch-molotyj-millicano-75g;274;229;JACOBS
