id;title;link;brand
120511;RIOBA Кофе в капсулах Decaffeinato без кофеина для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-decaffein-11x5g-120511;RIOBA
120484;RIOBA Кофе в капсулах Intenso для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-intenso-11x5g-120484;RIOBA
120485;RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g-120485;RIOBA
120509;RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g-120509;RIOBA
120486;RIOBA Кофе в капсулах Forte для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-forte-10x5g-120486;RIOBA
8359;RIOBA Кофе в капсулах Dolce Gusto Grande Intenso 16шт, 112г;https://online.metro-cc.ru/products/rioba-dolce-gusto-grande-intenso-16sht;RIOBA
220336;Кофе в капсулах Starbucks Caffe Verona для Nespresso 10шт, 55г;https://online.metro-cc.ru/products/10shth55g-kapsuly-kofe-starbucks-verona-nespresso;STARBUCKS
220337;Кофе в капсулах Starbucks Espresso Roast для Nespresso 10шт, 57г;https://online.metro-cc.ru/products/10shth57g-kapsuly-kofe-starbucks-espresso-nespresso;STARBUCKS
220335;Кофе в капсулах Starbucks House Blend для Nespresso 10шт, 55г;https://online.metro-cc.ru/products/10shth55g-kapsuly-kofe-starbucks-house-nespresso;STARBUCKS
220340;Кофе в капсулах Starbucks Blonde Espresso Roast для Nespresso 10шт, 53г;https://online.metro-cc.ru/products/10shth53g-kapsuly-kofe-starbucks-blonde-nespresso;STARBUCKS
401114;Кофе в капсулах Tassimo Jacobs Cappuccino для кофемашин Tassimo 16шт (8 эспрессо 8 молочных), 260г;https://online.metro-cc.ru/products/tassimo-cappuccino-classico-8-8sht;TASSIMO
117380;Кофе в капсулах Tassimo Jacobs Cappuccino для кофемашин Tassimo 16шт (8 эспрессо 8 молочных), 260г х 5 шт;https://online.metro-cc.ru/products/8-8sht-kaps-tassimo-capp-clas;TASSIMO
117383;Кофе в капсулах Tassimo Jacobs Americano Classico для кофемашин Tassimo 16шт, 132г x 5 шт;https://online.metro-cc.ru/products/16sht-kaps-tassimo-jacobs-amerikano-klassiko;TASSIMO
231688;Кофе Torabika капучино растворимый (25.5г x 20шт), 510г;https://online.metro-cc.ru/products/20shtx255g-kofe-torabica-kapuchino-rastvorimyy;TORABIKA
231689;Кофе Torabika Creamy Latte растворимый (30г x 20шт), 600г;https://online.metro-cc.ru/products/20shtx30g-kofe-torabica-creamy-latte-rastvorimyy;TORABIKA
231690;Кофе Torabika Brown растворимый (25г x 20шт), 500г;https://online.metro-cc.ru/products/20shtx25g-kofe-torabica-braun-rastvorimyy;TORABIKA
644660;Кофе Черная Карта Gold растворимый, 190г x 6 шт;https://online.metro-cc.ru/products/chernaya-karta-gold-rastvorimyj-190g;ЧЕРНАЯ КАРТА
